flowtime, d1, d2, d3
11.4, 0.9999999999999803 + 4.9873299934333204e-18im, 0.9999999999999933 + 1.0299920638612292e-18im, 1.0000000000000182 + 9.020562075079397e-17im
11.5, 0.9999999999999781 + 4.9873299934333204e-18im, 0.9999999999999926 + 1.0842021724855044e-18im, 1.0000000000000184 + 8.326672684688674e-17im
11.6, 0.9999999999999714 + 4.9873299934333204e-18im, 0.9999999999999926 + 1.1384122811097797e-18im, 1.0000000000000187 + 1.1102230246251565e-16im
11.7, 0.9999999999999704 + 4.7704895589362195e-18im, 0.999999999999994 + 9.75781955236954e-19im, 1.000000000000021 + 9.020562075079397e-17im
11.8, 0.9999999999999711 + 4.553649124439119e-18im, 0.999999999999992 + 1.1384122811097797e-18im, 1.0000000000000226 + 9.71445146547012e-17im
11.9, 0.9999999999999758 + 4.553649124439119e-18im, 0.9999999999999913 + 1.0299920638612292e-18im, 1.0000000000000229 + 9.020562075079397e-17im
12.0, 0.999999999999977 + 4.9873299934333204e-18im, 0.9999999999999909 + 1.1384122811097797e-18im, 1.0000000000000222 + 1.0408340855860843e-16im
12.1, 0.9999999999999786 + 6.288372600415926e-18im, 0.9999999999999897 + 5.963111948670274e-19im, 1.0000000000000207 + 1.1102230246251565e-16im
12.2, 0.9999999999999779 + 6.938893903907228e-18im, 0.9999999999999887 + 7.047314121155779e-19im, 1.000000000000022 + 1.1796119636642288e-16im
12.3, 0.9999999999999796 + 6.938893903907228e-18im, 0.9999999999999877 + 6.505213034913027e-19im, 1.0000000000000213 + 1.1796119636642288e-16im
12.4, 0.9999999999999812 + 6.7220534694101275e-18im, 0.9999999999999886 + 2.710505431213761e-19im, 1.0000000000000209 + 9.71445146547012e-17im
12.5, 0.999999999999983 + 6.5052130349130266e-18im, 0.9999999999999885 + 5.421010862427522e-20im, 1.0000000000000207 + 9.71445146547012e-17im
12.6, 0.9999999999999811 + 5.854691731421724e-18im, 0.9999999999999886 - 2.710505431213761e-19im, 1.000000000000023 + 9.020562075079397e-17im
12.7, 0.999999999999981 + 6.071532165918825e-18im, 0.9999999999999902 - 3.2526065174565133e-19im, 1.0000000000000242 + 1.1102230246251565e-16im
12.8, 0.9999999999999795 + 5.637851296924623e-18im, 0.9999999999999911 + 0.0im, 1.0000000000000235 + 5.551115123125783e-17im
12.9, 0.9999999999999795 + 5.854691731421724e-18im, 0.9999999999999882 - 2.168404344971009e-19im, 1.0000000000000262 + 4.85722573273506e-17im
13.0, 0.9999999999999781 + 5.637851296924623e-18im, 0.9999999999999899 - 1.0842021724855044e-19im, 1.0000000000000264 + 6.938893903907228e-17im
13.1, 0.9999999999999752 + 6.5052130349130266e-18im, 0.9999999999999879 + 5.421010862427522e-20im, 1.0000000000000262 + 5.551115123125783e-17im
13.2, 0.9999999999999726 + 5.854691731421724e-18im, 0.9999999999999857 + 1.0842021724855044e-19im, 1.0000000000000286 + 2.7755575615628914e-17im
13.3, 0.9999999999999726 + 6.288372600415926e-18im, 0.9999999999999822 - 1.0842021724855044e-19im, 1.0000000000000289 - 1.3877787807814457e-17im
13.4, 0.999999999999972 + 6.5052130349130266e-18im, 0.9999999999999805 - 4.336808689942018e-19im, 1.0000000000000284 - 1.3877787807814457e-17im
13.5, 0.9999999999999716 + 6.288372600415926e-18im, 0.9999999999999772 - 5.421010862427522e-19im, 1.0000000000000298 - 2.7755575615628914e-17im
13.6, 0.9999999999999728 + 6.288372600415926e-18im, 0.999999999999976 - 5.421010862427522e-19im, 1.0000000000000326 - 4.163336342344337e-17im
13.7, 0.9999999999999684 + 8.023096076392733e-18im, 0.9999999999999762 + 2.168404344971009e-19im, 1.0000000000000349 - 1.3877787807814457e-17im
13.8, 0.9999999999999672 + 7.37257477290143e-18im, 0.9999999999999782 + 1.0842021724855044e-18im, 1.0000000000000357 - 4.163336342344337e-17im
13.9, 0.999999999999965 + 7.37257477290143e-18im, 0.9999999999999797 + 1.3010426069826053e-18im, 1.000000000000035 - 5.551115123125783e-17im
14.0, 0.99999999999996 + 7.15573433840433e-18im, 0.9999999999999792 + 9.75781955236954e-19im, 1.0000000000000344 + 1.3877787807814457e-17im
14.1, 0.9999999999999591 + 6.938893903907228e-18im, 0.9999999999999795 + 7.589415207398531e-19im, 1.000000000000034 + 1.3877787807814457e-17im
14.2, 0.9999999999999589 + 6.288372600415926e-18im, 0.999999999999978 + 1.1926223897340549e-18im, 1.0000000000000364 + 8.326672684688674e-17im
14.3, 0.9999999999999605 + 6.7220534694101275e-18im, 0.9999999999999766 + 1.1926223897340549e-18im, 1.0000000000000355 + 5.551115123125783e-17im
14.4, 0.9999999999999638 + 6.7220534694101275e-18im, 0.9999999999999764 + 1.1926223897340549e-18im, 1.0000000000000362 + 2.7755575615628914e-17im
14.5, 0.9999999999999648 + 6.288372600415926e-18im, 0.999999999999977 + 9.75781955236954e-19im, 1.0000000000000349 + 2.7755575615628914e-17im
14.6, 0.9999999999999678 + 7.15573433840433e-18im, 0.9999999999999766 + 9.75781955236954e-19im, 1.0000000000000342 + 2.7755575615628914e-17im
14.7, 0.9999999999999688 + 7.37257477290143e-18im, 0.9999999999999759 + 8.673617379884035e-19im, 1.0000000000000369 + 5.551115123125783e-17im
14.8, 0.9999999999999695 + 6.938893903907228e-18im, 0.9999999999999747 + 1.0842021724855044e-18im, 1.0000000000000366 + 1.3877787807814457e-17im
14.9, 0.9999999999999688 + 6.938893903907228e-18im, 0.9999999999999756 + 1.4094628242311558e-18im, 1.000000000000037 + 5.551115123125783e-17im
15.0, 0.9999999999999696 + 7.806255641895632e-18im, 0.9999999999999742 + 2.0599841277224584e-18im, 1.0000000000000393 + 2.7755575615628914e-17im
15.1, 0.9999999999999684 + 7.589415207398531e-18im, 0.9999999999999745 + 2.2768245622195593e-18im, 1.0000000000000409 + 5.551115123125783e-17im
15.2, 0.9999999999999708 + 8.023096076392733e-18im, 0.9999999999999768 + 2.6020852139652106e-18im, 1.0000000000000413 + 4.163336342344337e-17im
15.3, 0.9999999999999696 + 7.806255641895632e-18im, 0.999999999999975 + 1.951563910473908e-18im, 1.0000000000000413 + 1.3877787807814457e-17im
15.4, 0.9999999999999679 + 8.239936510889834e-18im, 0.9999999999999746 + 1.8431436932253575e-18im, 1.000000000000044 - 2.7755575615628914e-17im
