flowtime, d1, d2, d3
28.3, 1.0 + 0.0im, 0.9999999999999665 + 1.734723475976807e-18im, 1.0 + 0.0im
28.4, 1.0 + 0.0im, 0.999999999999965 - 1.734723475976807e-18im, 1.0 + 0.0im
28.5, 1.0 + 0.0im, 0.9999999999999665 - 1.734723475976807e-18im, 1.0 + 0.0im
28.6, 1.0 + 0.0im, 0.9999999999999691 + 6.938893903907228e-18im, 1.0 + 0.0im
28.7, 1.0 + 0.0im, 0.9999999999999715 + 1.734723475976807e-18im, 1.0 + 0.0im
28.8, 1.0 + 0.0im, 0.9999999999999729 + 3.469446951953614e-18im, 1.0 + 0.0im
28.9, 1.0 + 0.0im, 0.9999999999999726 + 3.469446951953614e-18im, 1.0 + 0.0im
29.0, 1.0 + 0.0im, 0.9999999999999747 + 8.673617379884035e-18im, 1.0 + 0.0im
29.1, 1.0 + 0.0im, 0.9999999999999751 + 5.204170427930421e-18im, 1.0 + 0.0im
29.2, 1.0 + 0.0im, 0.9999999999999768 + 5.204170427930421e-18im, 1.0 + 0.0im
29.3, 1.0 + 0.0im, 0.9999999999999781 + 3.469446951953614e-18im, 1.0 + 0.0im
29.4, 1.0 + 0.0im, 0.9999999999999801 + 6.938893903907228e-18im, 1.0 + 0.0im
29.5, 1.0 + 0.0im, 0.9999999999999815 + 5.204170427930421e-18im, 1.0 + 0.0im
29.6, 1.0 + 0.0im, 0.9999999999999828 - 3.469446951953614e-18im, 1.0 + 0.0im
29.7, 1.0 + 0.0im, 0.9999999999999839 - 3.469446951953614e-18im, 1.0 + 0.0im
29.8, 1.0 + 0.0im, 0.9999999999999839 - 6.938893903907228e-18im, 1.0 + 0.0im
29.9, 1.0 + 0.0im, 0.9999999999999861 - 6.938893903907228e-18im, 1.0 + 0.0im
30.0, 1.0 + 0.0im, 0.9999999999999861 - 1.5612511283791264e-17im, 1.0 + 0.0im
30.1, 1.0 + 0.0im, 0.9999999999999889 - 1.734723475976807e-17im, 1.0 + 0.0im
