flowtime, d1, d2, d3
15.9, 1.0000000000000233 + 1.3322676295501878e-15im, 1.000000000000013 - 6.106226635438361e-15im, 1.0000000000000049 + 2.4980018054066022e-15im
16.0, 1.0000000000000249 + 1.304512053934559e-15im, 1.0000000000000133 - 5.495603971894525e-15im, 1.0000000000000042 + 2.4424906541753444e-15im
16.1, 1.0000000000000255 + 1.1379786002407855e-15im, 1.0000000000000122 - 5.551115123125783e-15im, 1.0000000000000047 + 2.1649348980190553e-15im
16.2, 1.0000000000000238 + 9.992007221626409e-16im, 1.0000000000000095 - 5.828670879282072e-15im, 1.0000000000000033 + 2.609024107869118e-15im
16.3, 1.0000000000000246 + 1.1657341758564144e-15im, 1.0000000000000084 - 5.88418203051333e-15im, 1.0000000000000038 + 1.9984014443252818e-15im
16.4, 1.0000000000000249 + 1.0547118733938987e-15im, 1.0000000000000084 - 5.828670879282072e-15im, 1.000000000000004 + 2.275957200481571e-15im
16.5, 1.0000000000000253 + 8.881784197001252e-16im, 1.0000000000000098 - 5.828670879282072e-15im, 1.0000000000000042 + 2.6645352591003757e-15im
16.6, 1.0000000000000246 + 6.106226635438361e-16im, 1.0000000000000087 - 5.162537064506978e-15im, 1.0000000000000022 + 2.7200464103316335e-15im
16.7, 1.000000000000025 + 8.326672684688674e-16im, 1.0000000000000082 - 5.0306980803327406e-15im, 1.0000000000000004 + 2.831068712794149e-15im
16.8, 1.0000000000000244 + 7.771561172376096e-16im, 1.0000000000000093 - 4.9960036108132044e-15im, 1.000000000000001 + 2.942091015256665e-15im
16.9, 1.000000000000023 + 7.771561172376096e-16im, 1.000000000000009 - 4.884981308350689e-15im, 1.0000000000000027 + 2.1094237467877974e-15im
17.0, 1.000000000000023 + 9.43689570931383e-16im, 1.0000000000000109 - 4.773959005888173e-15im, 1.0000000000000027 + 1.887379141862766e-15im
17.1, 1.0000000000000249 + 9.43689570931383e-16im, 1.0000000000000102 - 4.496403249731884e-15im, 1.0000000000000033 + 1.6930901125533637e-15im
17.2, 1.0000000000000242 + 8.881784197001252e-16im, 1.0000000000000115 - 4.0314973581701e-15im, 1.0000000000000022 + 1.6653345369377348e-15im
17.3, 1.0000000000000253 + 1.4988010832439613e-15im, 1.0000000000000133 - 3.8441472227646045e-15im, 1.0000000000000009 + 1.3322676295501878e-15im
17.4, 1.000000000000025 + 1.3322676295501878e-15im, 1.0000000000000133 - 3.747002708109903e-15im, 1.0000000000000029 + 1.3877787807814457e-15im
17.5, 1.000000000000024 + 6.106226635438361e-16im, 1.0000000000000127 - 3.635980405647388e-15im, 1.0000000000000004 + 1.7208456881689926e-15im
17.6, 1.000000000000024 + 8.326672684688674e-16im, 1.0000000000000135 - 3.497202527569243e-15im, 0.9999999999999996 + 1.3322676295501878e-15im
17.7, 1.0000000000000255 + 9.992007221626409e-16im, 1.0000000000000122 - 4.052314039881821e-15im, 0.9999999999999982 + 1.1657341758564144e-15im
17.8, 1.0000000000000278 + 1.1102230246251565e-15im, 1.0000000000000104 - 4.163336342344337e-15im, 0.999999999999997 + 1.8318679906315083e-15im
17.9, 1.0000000000000266 + 1.1102230246251565e-15im, 1.0000000000000093 - 4.107825191113079e-15im, 0.9999999999999966 + 1.5543122344752192e-15im
18.0, 1.0000000000000262 + 3.885780586188048e-16im, 1.0000000000000078 - 4.163336342344337e-15im, 0.9999999999999971 + 1.8318679906315083e-15im
18.1, 1.0000000000000269 + 7.771561172376096e-16im, 1.0000000000000069 - 4.218847493575595e-15im, 0.9999999999999971 + 1.9984014443252818e-15im
18.2, 1.0000000000000269 + 1.1102230246251565e-15im, 1.0000000000000044 - 4.08006961549745e-15im, 0.999999999999996 + 1.4432899320127035e-15im
18.3, 1.0000000000000278 + 5.551115123125783e-16im, 1.0000000000000029 - 4.413136522884997e-15im, 0.9999999999999958 + 1.27675647831893e-15im
