flowtime, d1, d2, d3
10.0, 1.0000000000000118 - 1.951563910473908e-18im, 0.999999999999994 - 1.214306433183765e-17im, 0.9999999999999917 - 3.686287386450715e-18im
10.1, 1.0000000000000124 - 3.2526065174565133e-18im, 0.9999999999999919 - 1.0842021724855044e-17im, 0.9999999999999943 - 3.577867169202165e-18im
10.2, 1.0000000000000167 - 3.0357660829594124e-18im, 0.9999999999999951 - 1.214306433183765e-17im, 0.9999999999999968 - 3.2526065174565133e-18im
10.3, 1.000000000000021 - 2.3852447794681098e-18im, 0.9999999999999956 - 1.214306433183765e-17im, 0.9999999999999958 - 2.8189256484623115e-18im
10.4, 1.0000000000000244 - 1.734723475976807e-18im, 0.999999999999997 - 1.1709383462843448e-17im, 0.9999999999999933 - 2.927345865710862e-18im
10.5, 1.0000000000000233 - 1.734723475976807e-18im, 0.9999999999999992 - 1.0408340855860843e-17im, 0.9999999999999903 - 2.8189256484623115e-18im
10.6, 1.000000000000021 - 8.673617379884035e-19im, 0.9999999999999977 - 9.974659986866641e-18im, 0.9999999999999869 - 3.0357660829594124e-18im
10.7, 1.0000000000000198 - 3.2526065174565133e-19im, 0.9999999999999989 - 9.107298248878237e-18im, 0.9999999999999861 - 2.927345865710862e-18im
10.8, 1.000000000000022 - 5.421010862427522e-19im, 0.9999999999999971 - 8.239936510889834e-18im, 0.9999999999999861 - 3.0357660829594124e-18im
10.9, 1.000000000000024 - 4.336808689942018e-19im, 0.9999999999999962 - 8.239936510889834e-18im, 0.9999999999999842 - 3.0357660829594124e-18im
11.0, 1.000000000000026 - 1.0842021724855044e-19im, 0.9999999999999977 - 8.673617379884035e-18im, 0.9999999999999829 - 3.686287386450715e-18im
11.1, 1.0000000000000258 + 1.0842021724855044e-19im, 0.9999999999999987 - 9.107298248878237e-18im, 0.9999999999999837 - 3.2526065174565133e-18im
11.2, 1.0000000000000278 + 3.2526065174565133e-19im, 0.9999999999999994 - 9.107298248878237e-18im, 0.9999999999999836 - 3.144186300207963e-18im
11.3, 1.0000000000000278 + 6.505213034913027e-19im, 0.999999999999999 - 9.540979117872439e-18im, 0.9999999999999857 - 3.577867169202165e-18im
11.4, 1.0000000000000298 + 4.336808689942018e-19im, 0.9999999999999987 - 8.239936510889834e-18im, 0.9999999999999878 - 2.927345865710862e-18im
11.5, 1.0000000000000302 + 5.421010862427522e-19im, 0.9999999999999988 - 8.673617379884035e-18im, 0.9999999999999891 - 3.0357660829594124e-18im
11.6, 1.0000000000000315 + 3.2526065174565133e-19im, 0.9999999999999989 - 8.239936510889834e-18im, 0.999999999999992 - 2.6020852139652106e-18im
11.7, 1.0000000000000333 + 2.168404344971009e-19im, 0.9999999999999979 - 8.673617379884035e-18im, 0.9999999999999942 - 2.3852447794681098e-18im
11.8, 1.00000000000003 + 1.0842021724855044e-19im, 0.9999999999999957 - 9.107298248878237e-18im, 0.999999999999992 - 2.4936649967166602e-18im
11.9, 1.0000000000000306 + 1.0842021724855044e-19im, 0.9999999999999954 - 8.673617379884035e-18im, 0.9999999999999916 - 2.4936649967166602e-18im
