flowtime, sM3R1, sM3R2, sM3R3, sM3R4, sM3R5, sM3R6, sM3R7, sM3R8, sM3R9, sM3R10, sM3R11, sM3R12, sM3R13, sM3R14, sM3R15
6.9, 0.2124726207421334, 0.15712966112743385, 0.18757095969371715, 0.21396698556327182, 0.2544136731443931, 0.20906386435942786, 0.16845080381947583, 0.1605978720709589, 0.21368592259262528, 0.2150974033310696, 0.23107799117817962, 0.21685863861743537, 0.18556552108378177, 0.15802712050014678, 0.17498679939358514
7.0, 0.20727245192445717, 0.15464579560449682, 0.1838757687274476, 0.2104415984361495, 0.2503525235405217, 0.20465448847372827, 0.16431771174528437, 0.1579106351241849, 0.21071440714296508, 0.21197186107234048, 0.22740619017886587, 0.21038364706080942, 0.18132532268519672, 0.15426229062220453, 0.1722567149400168
7.1, 0.20207508148710568, 0.15226449165901904, 0.18029738841219015, 0.20709772334864932, 0.24638084709276142, 0.20018015978203463, 0.16035156722987357, 0.15532208656731297, 0.20783328599136416, 0.2089457470155024, 0.22379156385573007, 0.2041120428914722, 0.17718787451028564, 0.15071249554117225, 0.1696254629632664
7.2, 0.1968762880587267, 0.1499794305476062, 0.1768318741056882, 0.20392169524938927, 0.24249552236784463, 0.19564878112517572, 0.15655173380884585, 0.15282163403290802, 0.2050376008965993, 0.2060145821456935, 0.22023212100201864, 0.1980448266018782, 0.17314484127090865, 0.14736325038888431, 0.16708403135792513
7.3, 0.19167505099326648, 0.14778463432091538, 0.1734756358178439, 0.20090009179864227, 0.23869408549859955, 0.19108031898420078, 0.1529166579740101, 0.1503996169576237, 0.20232248670365915, 0.20317383530898836, 0.21672598433002735, 0.19218151108800172, 0.16918809770916962, 0.14420034858361178, 0.16462445805759265
7.4, 0.18647347160012498, 0.14567446940134707, 0.17022541281954048, 0.19801990651920112, 0.23497466213208595, 0.18650479567530803, 0.14944384133728233, 0.1480473021332955, 0.1996831703802787, 0.20041898436807865, 0.21327122646139463, 0.18652045852346616, 0.1653096740255651, 0.14121010629968106, 0.16223978404571154
7.5, 0.18127660449872554, 0.143643647462815, 0.16707822214758897, 0.19526868347061263, 0.23133590467388818, 0.18195734444076472, 0.14612982610869737, 0.1457568685966929, 0.19711498242667325, 0.1977455620176698, 0.20986577655917915, 0.1810591568076319, 0.16150179328476996, 0.13837954249677223, 0.15992400466315349
7.6, 0.1760921878042543, 0.14168722304555637, 0.16403127824160849, 0.1926346251119805, 0.227776919027935, 0.17747192452739183, 0.14297021221844236, 0.14352138129235495, 0.19461337869236958, 0.1951491871682359, 0.20650739469153243, 0.17579437232198586, 0.15775702424663987, 0.1356964965295635, 0.1576720137924419
7.7, 0.170930267166325, 0.13980058783905708, 0.1610818903726673, 0.19010668137568784, 0.2242971699077859, 0.17307602546687662, 0.13995971767910942, 0.14133475326299128, 0.1921739694797552, 0.1926255842239653, 0.20319370076400564, 0.17072215369144178, 0.15406856295458354, 0.13314969013051348, 0.15547953649469337
7.8, 0.16580271538873997, 0.13797946189509347, 0.15822735049423553, 0.187674625100511, 0.22089636049988162, 0.1687879724307319, 0.1370922839080905, 0.13919169669963274, 0.18979255215657, 0.19017059334858233, 0.19992223915410237, 0.16583770536314738, 0.1504306379296334, 0.13072874321836883, 0.15334304733778903
7.9, 0.16072265721911472, 0.13621988221953973, 0.15546482598119796, 0.18532911650077447, 0.2175742890960352, 0.16461694957393383, 0.13436121829136907, 0.13708766404746134, 0.18746514337584738, 0.1877801750716189, 0.19669055915436967, 0.16113518662325585, 0.1468390061715499, 0.1284241539351212, 0.15125967390980688
8.0, 0.15570381873299266, 0.13451818927126838, 0.15279127005090054, 0.1830617570270087, 0.21433069073532837, 0.1605647519212851, 0.13175935996672583, 0.135018781453097, 0.18518800738084387, 0.1854504124803538, 0.19349629388646955, 0.15660751096328965, 0.1432914732942269, 0.1262272530318558, 0.14922708761118472
8.1, 0.1507598326453449, 0.13287101190332293, 0.1502033588114218, 0.18086513073786695, 0.211165074932832, 0.15662807565679918, 0.12927925268708482, 0.13298177801023844, 0.18295767767131701, 0.18317751389277412, 0.19033722494469874, 0.15224621760801363, 0.13978833933358828, 0.12413014165676478, 0.14724338635647471
8.2, 0.14590354352044066, 0.1312752512444877, 0.1476974592917684, 0.17873282929811024, 0.2080765710123194, 0.15280056309940573, 0.1269133101851839, 0.13097391530276276, 0.1807709704006789, 0.18095781841117223, 0.18721132528363904, 0.14804146380422978, 0.1363326551858451, 0.12212562011784961, 0.14530697581117813
8.3, 0.1411463672761296, 0.12972806396032424, 0.14526962860388973, 0.17665945528370638, 0.20506379088904772, 0.14907431591603856, 0.12465396329284474, 0.12899292241792054, 0.1786249890997435, 0.17878780618191942, 0.18411677784381086, 0.14398215197180364, 0.13293018681581237, 0.12020711358061156, 0.1434164568133434
8.4, 0.13649776377125228, 0.12822684526687705, 0.14291564121069256, 0.17464059807340823, 0.20212471630912474, 0.1454409011948649, 0.12249378262911925, 0.12703694168326887, 0.17651712149599397, 0.17666411457379338, 0.181051971604565, 0.1400561717615443, 0.129589031603169, 0.1183685991139391, 0.14157052643940282
