flowtime, d1, d2, d3
15.9, 0.9999999999999892 + 2.2551405187698492e-17im, 0.9999999999999928 + 3.469446951953614e-17im, 1.00000000000002 - 1.1657341758564144e-15im
16.0, 0.9999999999999873 + 2.168404344971009e-17im, 0.999999999999992 + 3.469446951953614e-17im, 1.0000000000000182 - 8.881784197001252e-16im
16.1, 0.9999999999999866 + 1.6479873021779667e-17im, 0.9999999999999917 + 4.85722573273506e-17im, 1.0000000000000178 - 9.992007221626409e-16im
16.2, 0.9999999999999866 + 1.734723475976807e-17im, 0.9999999999999902 + 3.469446951953614e-17im, 1.0000000000000187 - 7.216449660063518e-16im
16.3, 0.9999999999999843 + 2.6020852139652106e-17im, 0.9999999999999903 + 3.8163916471489756e-17im, 1.0000000000000198 - 7.216449660063518e-16im
16.4, 0.9999999999999842 + 2.7755575615628914e-17im, 0.9999999999999896 + 3.8163916471489756e-17im, 1.000000000000019 - 6.661338147750939e-16im
16.5, 0.9999999999999858 + 2.5153490401663703e-17im, 0.9999999999999869 + 4.163336342344337e-17im, 1.0000000000000209 - 7.771561172376096e-16im
16.6, 0.9999999999999865 + 2.168404344971009e-17im, 0.9999999999999865 + 2.7755575615628914e-17im, 1.0000000000000204 - 8.326672684688674e-16im
16.7, 0.9999999999999873 + 2.5153490401663703e-17im, 0.9999999999999853 + 2.7755575615628914e-17im, 1.0000000000000187 - 1.1657341758564144e-15im
16.8, 0.9999999999999875 + 2.688821387764051e-17im, 0.9999999999999868 + 2.7755575615628914e-17im, 1.000000000000019 - 1.1102230246251565e-15im
16.9, 0.9999999999999876 + 2.2551405187698492e-17im, 0.9999999999999857 + 2.42861286636753e-17im, 1.0000000000000193 - 1.2212453270876722e-15im
17.0, 0.9999999999999855 + 2.168404344971009e-17im, 0.9999999999999875 + 1.734723475976807e-17im, 1.0000000000000189 - 1.3322676295501878e-15im
17.1, 0.9999999999999831 + 2.42861286636753e-17im, 0.9999999999999861 + 2.7755575615628914e-17im, 1.0000000000000215 - 8.881784197001252e-16im
17.2, 0.9999999999999829 + 2.0816681711721685e-17im, 0.9999999999999862 + 3.122502256758253e-17im, 1.0000000000000226 - 9.992007221626409e-16im
17.3, 0.9999999999999832 + 1.734723475976807e-17im, 0.9999999999999877 + 2.7755575615628914e-17im, 1.000000000000024 - 1.0547118733938987e-15im
17.4, 0.9999999999999841 + 1.3877787807814457e-17im, 0.9999999999999865 + 2.42861286636753e-17im, 1.0000000000000222 - 9.992007221626409e-16im
17.5, 0.9999999999999822 + 7.806255641895632e-18im, 0.9999999999999878 + 2.0816681711721685e-17im, 1.0000000000000235 - 8.326672684688674e-16im
17.6, 0.9999999999999819 + 6.938893903907228e-18im, 0.9999999999999885 + 1.3877787807814457e-17im, 1.0000000000000233 - 9.992007221626409e-16im
17.7, 0.9999999999999827 + 1.3877787807814457e-17im, 0.9999999999999882 + 1.3877787807814457e-17im, 1.000000000000023 - 8.881784197001252e-16im
17.8, 0.9999999999999837 + 1.5612511283791264e-17im, 0.999999999999987 + 1.734723475976807e-17im, 1.0000000000000235 - 8.881784197001252e-16im
